id,name,description,parent_category_id,created_at
1,Smartphones,Mobile phones and accessories from top brands,,2022-01-01 00:00:00
2,Laptops,"Notebooks, ultrabooks, and gaming laptops",,2022-01-01 00:00:00
5,Cameras,"Digital cameras, action cameras, and camcorders",,2022-01-01 00:00:00
16,Drones,Consumer and professional drones and drone accessories,,2022-01-01 00:00:00
15,Smart Home,"SMART SPEAKERS, LIGHTS, THERMOSTATS, AND SECURITY CAMERAS",,2022-01-01 00:00:00
14,COMPUTER COMPONENTS,"CPUs, GPUs, RAM, motherboards, and power supplies
",,2022-01-01 00:00:00
4,HEADPHONES,"Over-ear, on-ear, and in-ear headphones",,2022-01-01 00:00:00
6,Smartwatches,Wearable smartwatches and fitness trackers,,2022-01-01 00:00:00
18,null,"Operating systems, productivity suites, and security software",,2022-01-01 00:00:00
12,TVs & M...,"Smart TVs, monitors, and display screens",,2022-01-01 00:00:00
9,Networking,"Routers, switches, modems, and network adapters",,2022-01-01 00:00:00
7,Gaming,,,2022-01-01 00:00:00
20,Phone Cases,"Protective cases, screen protectors, and phone stands",,2022-01-01 00:00:00
11,Audio,,,2022-01-01 00:00:00
19,Wear...,"Fitness bands, smart rings, and health monitors",,2022-01-01 00:00:00
17,Cables & Adapters,"HDMII, UUSB-C, Liightniing, aand diisplaay aadaapteers",,2022-01-01 00:00:00
3,Tablets,Tablets and e-readers for work and play,,2022-01-01 00:00:00
10,Sto...,TBD,,2022-01-01 00:00:00
8,Acces...,,,2022-01-01 00:00:00
3,Tablets,Tablets and e-readers for work and play,,2022-01-01 00:00:00
13,,,,2022-01-01 00:00:00